COMPROING	NROCOMPROING	CAJA	RAZÓN
RB	100098318	1000090	FACTURA_NO_ENCONTRADA
RB	700007981	7000001	FACTURA_NO_ENCONTRADA
RB	700007981	7000001	FACTURA_NO_ENCONTRADA
RB	700007982	7000001	FACTURA_NO_ENCONTRADA
RB	700007982	7000001	FACTURA_NO_ENCONTRADA
RB	700007982	7000001	FACTURA_NO_ENCONTRADA
RB	700007982	7000001	FACTURA_NO_ENCONTRADA
RB	700007982	7000001	FACTURA_NO_ENCONTRADA
RB	700007983	7000001	FACTURA_NO_ENCONTRADA
RB	700007983	7000001	FACTURA_NO_ENCONTRADA
RB	700007983	7000001	FACTURA_NO_ENCONTRADA
RB	700007984	7000001	FACTURA_NO_ENCONTRADA
